timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:00.811514,2017-07-26 16:48:36,0,1.0,29.0,1,-0.0738700832073,57296875.0,0.0625,00e200600322f041ef000000,-49.2406389999,35,1501080168710832,1,1501080168710832,3728,5.71868037724,0.822578181399,811514,1,-47,10.0,-0.273711128003,0.831401731612,1,0.0204385368148,-0.0241699250394
00:00:00.821470,2017-07-26 16:48:36,0,1.0,29.0,65512,0.0402619850589,-1375125000.0,-1.5,00e200600322f10741000000,-54.1888346787,36,1501080168720788,1,1501080168720788,508,0.779262240246,-8.1774218186,821470,1,-56,-9.0,0.563906038648,2.23149560947,1,-0.490524883556,0.0131663370218
00:00:00.872152,2017-07-26 16:48:36,0,1.0,29.0,2,0.0402619850589,114593750.0,0.125,00e200600322f041ef000000,-48.9262424467,37,1501080168771470,1,1501080168771470,3748,5.749359993,0.822578181399,872152,1,-47,9.0,0.0406854252061,1.14579828482,1,0.0408770736297,0.0131663370218
00:00:00.882114,2017-07-26 16:48:36,0,1.0,29.0,65506,0.0,-1718906250.0,-1.875,00e200600322f10741000000,-54.8366431837,38,1501080168781432,1,1501080168781432,508,0.779262240246,-9.1774218186,882114,1,-57,-10.0,-0.0839024663853,1.58368710443,1,-0.613156104445,0.0
00:00:00.909329,2017-07-26 16:48:36,0,1.0,29.0,28,-0.197357844938,1604312500.0,1.75,00e200600322f10741000000,-56.4203302881,39,1501080168808647,1,1501080168808647,464,0.711767085579,-9.1774218186,909329,1,-57,0.0,-1.66758957082,0.0,1,0.572279030815,-0.0645392892715
00:00:00.919048,2017-07-26 16:48:36,0,1.0,29.0,3,-0.0104120020897,171890625.0,0.1875,00e200600322f041ef000000,-49.5241698931,40,1501080168818366,1,1501080168818366,3744,5.74322406984,0.822578181399,919048,1,-47,10.0,-0.557242021264,0.547870838351,1,0.0613156104445,-0.00340489740843
00:00:00.964961,2017-07-26 16:48:36,0,1.0,29.0,29,0.0,1661609375.0,1.8125,00e200600322f10741000000,-54.2648065525,41,1501080168864279,1,1501080168864279,464,0.711767085579,-8.1774218186,964961,1,-56,-9.0,0.48793416477,2.15552373559,1,0.59271756763,0.0
00:00:00.974578,2017-07-26 16:48:36,0,1.0,29.0,65529,-0.0263793219881,-401078125.0,-0.4375,00e200600322f041ef000000,-48.9465990489,42,1501080168873896,1,1501080168873896,3732,5.72481630039,0.822578181399,974578,1,-47,9.0,0.0203288229528,1.12544168257,1,-0.143069757704,-0.00862647589767
00:00:00.994677,2017-07-26 16:48:36,0,1.0,29.0,65535,0.0242938081497,-57296875.0,-0.0625,00e200600322f041ef000000,-47.5215896431,43,1501080168893995,1,1501080168893995,3736,5.73095222354,0.822578181399,994677,1,-47,0.0,1.44533822873,2.55045108834,1,-0.0204385368148,0.00794447827583
00:00:01.004656,2017-07-26 16:48:36,0,1.0,29.0,65530,0.270618150901,-343781250.0,-0.375,00e200600322f10741000000,-54.4602675994,44,1501080168903974,1,1501080168903974,552,0.846757394913,-9.1774218186,1004656,1,-57,-10.0,0.292473117965,1.96006268878,1,-0.122631220889,0.0884966246391
00:00:01.061933,2017-07-26 16:48:36,0,1.0,30.0,3,0.270618150901,171984375.0,0.1875,00e200600322f041ef000000,-48.9989726786,45,1501080168961251,1,1501080168961251,640,0.981747704247,0.832050253213,1061933,1,-47,10.0,0.18073235402,1.00820251599,1,0.0612821868357,0.0884966246391
00:00:01.079147,2017-07-26 16:48:36,0,1.0,30.0,21,6.87188690049,1203890625.0,1.3125,00e200600322f10741000000,-54.124080383,46,1501080168978465,1,1501080168978465,3288,5.04372883057,-8.16794974679,1079147,1,-56,-9.0,0.0102836728792,1.36679942273,1,0.42897530785,2.24599603706
00:00:01.098171,2017-07-26 16:48:36,0,1.0,30.0,0,6.87188690049,0.0,0.0,00e200600322f041ef000000,-49.640942393,47,1501080168997489,1,1501080168997489,2680,4.11106851153,-0.167949746787,1098171,1,-48,8.0,-0.461237360431,0.366232801535,1,0.0,2.24599603706
00:00:01.108153,2017-07-26 16:48:36,0,1.0,30.0,57,-0.168338016272,3267703125.0,3.5625,00e200600322f10741000000,-54.2960956496,48,1501080169007471,1,1501080169007471,3248,4.98236959905,-8.16794974679,1108153,1,-56,-8.0,-0.161731593673,1.19478415617,1,1.16436154988,-0.0550193160787
00:00:01.388547,2017-07-26 16:48:36,0,1.0,31.0,65533,-0.168338016272,-172078125.0,-0.1875,00e200600322f10741000000,-57.0075418205,49,1501080169287865,1,1501080169287865,2644,4.05584520317,-10.1584828369,1388547,1,-58,-2.0,-1.06114190834,0.452110004869,1,-0.0612487996459,-0.0550193160787
00:00:01.400119,2017-07-26 16:48:36,0,1.0,31.0,65528,-0.0446707657355,-458875000.0,-0.5,00e200600322f041ef000000,-51.1456143642,50,1501080169299437,1,1501080169299437,4056,6.22182607566,-1.15848283687,1400119,1,-49,9.0,-0.290015896981,0.83266298086,1,-0.163330132389,-0.014592164163
00:00:01.454131,2017-07-26 16:48:36,0,1.0,31.0,65521,-0.0446707657355,-860390625.0,-0.9375,00e200600322f10741000000,-55.4313220967,51,1501080169353449,1,1501080169353449,2620,4.01902966426,-9.15848283687,1454131,1,-57,-8.0,0.515077815433,2.02832972864,1,-0.306243998229,-0.014592164163
00:00:01.463823,2017-07-26 16:48:36,0,1.0,31.0,65499,-7.72616319226,-2122296875.0,-2.3125,00e200600322f041ef000000,-51.4553183696,52,1501080169363141,1,1501080169363141,24,0.0368155389093,-2.15848283687,1463823,1,-50,7.0,-0.599719902472,0.522958975369,1,-0.755401862299,-2.5238305141
00:00:01.484013,2017-07-26 16:48:36,0,1.0,31.0,3,24.2084958519,172078125.0,0.1875,00e200600322f041ef000000,-50.3899513819,53,1501080169383331,1,1501080169383331,4028,6.1788746136,-2.15848283687,1484013,1,-50,0.0,0.465647085295,1.58832596314,1,0.0612487996459,7.90795366486
00:00:01.499545,2017-07-26 16:48:36,0,1.0,31.0,65535,-5.3221301526,-57359375.0,-0.0625,00e200600322f10741000000,-55.2288428108,54,1501080169398863,1,1501080169398863,640,0.981747704247,-9.15848283687,1499545,1,-57,-7.0,0.717557101284,2.23080901449,1,-0.0204162665486,-1.73852844483
00:00:01.542649,2017-07-26 16:48:36,0,1.0,31.0,65526,0.0916006165155,-573593750.0,-0.625,00e200600322f041ef000000,-51.4010642085,55,1501080169441967,1,1501080169441967,4072,6.24636976827,-2.15848283687,1542649,1,-50,7.0,-0.545465741344,0.577213136497,1,-0.204162665486,0.0299222816448
00:00:01.554476,2017-07-26 16:48:36,0,1.0,31.0,65532,4.56894217291,-229437500.0,-0.25,00e200600322f10741000000,-55.4997696762,56,1501080169453794,1,1501080169453794,2696,4.13561220414,-9.15848283687,1554476,1,-57,-7.0,0.446630235929,1.95988214914,1,-0.0816650661945,1.49249185996
00:00:01.583087,2017-07-26 16:48:36,0,1.0,32.0,65534,4.56894217291,-114781250.0,-0.125,00e200600322f041ef000000,-50.0095572282,57,1501080169482405,1,1501080169482405,3472,5.32598129554,-0.149021083213,1583087,1,-48,9.0,-0.336882197935,0.674722946679,1,-0.0408102992105,1.49249185996
00:00:01.597034,2017-07-26 16:48:36,0,1.0,32.0,63,0.053255979277,3615609375.0,3.9375,00e200600322f10741000000,-54.394865697,58,1501080169496352,1,1501080169496352,136,0.208621387152,-8.14902108321,1597034,1,-56,-8.0,0.0946126480957,1.18654651451,1,1.28552442513,0.0173871395923
00:00:01.647267,2017-07-26 16:48:36,0,1.0,32.0,9,0.053255979277,516515625.0,0.5625,00e200600322f041ef000000,-49.7134990992,59,1501080169546585,1,1501080169546585,3500,5.3689327576,-0.149021083213,1647267,1,-48,8.0,-0.0408240689891,0.970781075625,1,0.183646346447,0.0173871395923
00:00:01.659181,2017-07-26 16:48:36,0,1.0,32.0,65488,0.455698786748,-2754750000.0,-3.0,00e200600322f10741000000,-54.3155371604,60,1501080169558499,1,1501080169558499,368,0.564504929942,-8.14902108321,1659181,1,-56,-8.0,0.173941184659,1.26587505107,1,-0.979447181051,0.148777630696
00:00:01.681508,2017-07-26 16:48:36,0,1.0,32.0,9,-0.0427804021495,516515625.0,0.5625,00e200600322f041ef000000,-49.6922430819,61,1501080169580826,1,1501080169580826,3488,5.35052498815,-0.149021083213,1681508,1,-48,8.0,-0.0195680516801,0.992037092934,1,0.183646346447,-0.0139670480965
00:00:01.691442,2017-07-26 16:48:36,0,1.0,32.0,65507,-0.49946626732,-1664328125.0,-1.8125,00e200600322f10741000000,-54.3098416277,62,1501080169590760,1,1501080169590760,236,0.362019465941,-8.14902108321,1691442,1,-56,-8.0,0.179636717331,1.27157058374,1,-0.591749338552,-0.163066942519
00:00:01.740588,2017-07-26 16:48:36,0,1.0,32.0,2,0.00826474695328,114781250.0,0.125,00e200600322f041ef000000,-49.6907169685,63,1501080169639906,1,1501080169639906,3492,5.3566609113,-0.149021083213,1740588,1,-48,8.0,-0.0180419383001,0.993563206314,1,0.0408102992105,0.0026982943685
00:00:01.750549,2017-07-26 16:48:36,0,1.0,32.0,4,0.0,229562500.0,0.25,00e200600322f10741000000,-54.3094327069,64,1501080169649867,1,1501080169649867,236,0.362019465941,-8.14902108321,1750549,1,-56,-8.0,0.180045638179,1.27197950459,1,0.0816205984209,0.0
00:00:01.774395,2017-07-26 16:48:36,0,1.0,33.0,65530,0.0,-344531250.0,-0.375,00e200600322f041ef000000,-49.6906073985,65,1501080169673713,1,1501080169673713,2860,4.38718505335,-0.139564480216,1774395,1,-48,8.0,-0.215629812881,1.04145761712,1,-0.122364268571,0.0
00:00:01.789879,2017-07-26 16:48:36,0,1.0,33.0,65523,-0.0334004548875,-746484375.0,-0.8125,00e200600322f10741000000,-54.3094033477,66,1501080169689197,1,1501080169689197,3556,5.45483568172,-8.13956448022,1789879,1,-56,-8.0,-0.309814841553,1.22251285904,1,-0.265122581905,-0.0108987259527
00:00:01.832871,2017-07-26 16:48:36,0,1.0,33.0,7,-0.0334004548875,401953125.0,0.4375,00e200600322f041ef000000,-50.4226503393,67,1501080169732189,1,1501080169732189,2844,4.36264136075,-1.13956448022,1832871,1,-49,7.0,-0.947672753677,0.30941467632,1,0.142758313333,-0.0108987259527
00:00:01.842846,2017-07-26 16:48:36,0,1.0,33.0,65507,0.0460929682633,-1665234375.0,-1.8125,00e200600322f10741000000,-54.5055536625,68,1501080169742164,1,1501080169742164,3576,5.48551529748,-8.13956448022,1842846,1,-56,-7.0,-0.505965156364,1.02636254423,1,-0.591427298095,0.0150403529275
00:00:01.871146,2017-07-26 16:48:36,0,1.0,33.0,6,0.0,344531250.0,0.375,00e200600322f041ef000000,-49.7431578502,69,1501080169770464,1,1501080169770464,2844,4.36264136075,-0.139564480216,1871146,1,-48,8.0,-0.268180264557,0.98890716544,1,0.122364268571,0.0
00:00:01.881161,2017-07-26 16:48:36,0,1.0,33.0,1,-0.305852799165,57421875.0,0.0625,00e200600322f10741000000,-53.5914333912,70,1501080169780479,1,1501080169780479,3480,5.33825314184,-7.13956448022,1881161,1,-55,-7.0,0.408155114928,1.94048281552,1,0.0203940447619,-0.0998012108275
00:00:01.942135,2017-07-26 16:48:36,0,1.0,33.0,10,-0.00687826635112,574218750.0,0.625,00e200600322f041ef000000,-50.2302708693,71,1501080169841453,1,1501080169841453,2840,4.3565054376,-1.13956448022,1942135,1,-49,6.0,-0.755293283649,0.501794146349,1,0.203940447619,-0.00224441074959
00:00:01.957068,2017-07-26 16:48:36,0,1.0,33.0,9,0.109354621445,516796875.0,0.5625,00e200600322f10741000000,-53.7219549313,72,1501080169856386,1,1501080169856386,3548,5.44256383542,-7.13956448022,1957068,1,-55,-6.0,0.277633574839,1.80996127543,1,0.183546402857,0.0356829287146
00:00:01.982199,2017-07-26 16:48:36,0,1.0,34.0,14,0.109354621445,804343750.0,0.875,00e200600322f041ef000000,-49.533193203,73,1501080169881517,1,1501080169881517,392,0.601320468851,-0.13011302227,1982199,1,-48,7.0,-0.184946351585,0.741288247261,1,0.285361327985,0.0356829287146
00:00:01.992180,2017-07-26 16:48:36,0,1.0,34.0,34,0.0584258175074,1953406250.0,2.125,00e200600322f10741000000,-54.9992751487,74,1501080169891498,1,1501080169891498,3316,5.08668029263,-9.13011302227,1992180,1,-57,-9.0,-0.0497266629949,1.48920518444,1,0.693020367963,0.01905425014
00:00:02.040700,2017-07-26 16:48:36,0,1.0,34.0,65528,0.0584258175074,-459625000.0,-0.5,00e200600322f041ef000000,-49.8754501237,75,1501080169940018,1,1501080169940018,420,0.644271930912,-0.13011302227,2040700,1,-48,9.0,-0.527203272311,0.399031326536,1,-0.163063615991,0.01905425014
00:00:02.052524,2017-07-26 16:48:36,0,1.0,34.0,37,-4.11054744465,2125765625.0,2.3125,00e200600322f10741000000,-55.0909826142,76,1501080169951842,1,1501080169951842,1284,1.96963133165,-9.13011302227,2052524,1,-57,-9.0,-0.141434128507,1.39749771893,1,0.75416922396,-1.34056146006
00:00:02.076280,2017-07-26 16:48:36,0,1.0,34.0,65530,-0.0205540179323,-344718750.0,-0.375,00e200600322f10741000000,-56.4884803331,77,1501080169975598,1,1501080169975598,1280,1.96349540849,-9.13011302227,2076280,1,-57,0.0,-1.53893184744,0.0,1,-0.122297711993,-0.00670322497439
00:00:02.085995,2017-07-26 16:48:36,0,1.0,34.0,65530,-0.0646801523347,-344718750.0,-0.375,00e200600322f041ef000000,-50.2744814502,78,1501080169985313,1,1501080169985313,396,0.607456392003,-0.13011302227,2085995,1,-48,9.0,-0.926234598846,0.0,1,-0.122297711993,-0.0210939590451
00:00:02.134428,2017-07-26 16:48:36,0,1.0,34.0,13,-0.040326327091,746890625.0,0.8125,00e200600322f041ef000000,-48.6094454678,79,1501080170033746,1,1501080170033746,380,0.582912699397,-0.13011302227,2134428,1,-48,0.0,0.738801383597,1.66503598244,1,0.264978375986,-0.0131515134302
00:00:02.146184,2017-07-26 16:48:36,0,1.0,34.0,65532,-0.0628652330339,-229812500.0,-0.25,00e200600322f10741000000,-54.751757689,80,1501080170045502,1,1501080170045502,1244,1.90827210013,-9.13011302227,2146184,1,-57,-9.0,0.197790796657,1.7367226441,1,-0.0815318079956,-0.0205020644373
00:00:02.173280,2017-07-26 16:48:36,0,1.0,35.0,6,-0.0628652330339,344906250.0,0.375,00e200600322f10741000000,-55.6655344808,81,1501080170072598,1,1501080170072598,24,0.0368155389093,-8.12066670378,2173280,1,-56,1.0,-1.1794809702,0.0,1,0.122231227779,-0.0205020644373
