'Time','Val'
72.5,-6.510704041,
72.6,-6.48260498,
72.7,-6.53881073,
72.8,-6.595024109,
72.9,-6.607795715,
73,-6.689559937,
73.1,-6.840301514,
73.2,-7.044700623,
73.3,-7.330863953,
73.4,-7.6016922,
73.5,-7.719223022,
73.6,-7.719223022,
73.7,-7.696228027,
73.8,-7.588912964,
73.9,-7.31552887,
74,-7.042144775,
74.1,-6.87096405,
74.2,-6.743209839,
74.3,-6.661453247,
74.4,-6.595024109,
74.5,-6.531143188,
74.6,-6.474937439,
74.7,-6.526039124,
74.8,-6.689559937,
74.9,-6.873519897,
75,-7.116241455,
75.1,-7.410064697,
75.2,-7.637458801,
75.3,-7.724334717,
75.4,-7.711555481,
75.5,-7.691116333,
75.6,-7.683448792,
75.7,-7.532707214,
75.8,-7.223548889,
75.9,-6.978271484,
76,-6.82497406,
76.1,-6.717658997,
76.2,-6.643569946,
76.3,-6.579689026,
76.4,-6.518371582,
76.5,-6.462158203,
76.6,-6.495376587,
76.7,-6.569473267,
76.8,-6.587356567,
76.9,-6.633346558,
77,-6.755989075,
77.1,-6.929725647,
77.2,-7.187782288,
77.3,-7.476493835,
77.4,-7.670677185,
77.5,-7.724334717,
77.6,-7.701339722,
77.7,-7.660453796,
77.8,-7.45349884,
77.9,-7.149459839,
78,-6.939949036,
78.1,-6.794311523,
78.2,-6.689559937,
78.3,-6.618019104,
78.4,-6.554138184,
78.5,-6.495376587,
78.6,-6.477493286,
78.7,-6.602684021,
78.8,-6.804534912,
78.9,-7.016593933,
79,-7.312973022,
79.1,-7.583808899,
79.2,-7.708999634,
79.3,-7.724334717,
79.4,-7.706443787,
79.5,-7.69367218,
79.6,-7.611907959,
79.7,-7.341079712,
79.8,-7.044700623,
79.9,-6.87096405,
80,-6.748321533,20.32520294
80.1,-6.661453247,
80.2,-6.597579956,
80.3,-6.536254883,
80.4,-6.485153198,
80.5,-6.472381592,
80.6,-6.541366577,
80.7,-6.587356567,
80.8,-6.582244873,
80.9,-6.620574951,
81,-6.73299408,
81.1,-6.893959045,
81.2,-7.129013062,
81.3,-7.417732239,
81.4,-7.645126343,
81.5,-7.724334717,
81.6,-7.706443787,
81.7,-7.691116333,
81.8,-7.548034668,
81.9,-7.246543884,
82,-6.991043091,
82.1,-6.835189819,
82.2,-6.725326538,
82.3,-6.646118164,
82.4,-6.595024109,
82.5,-6.531143188,
82.6,-6.469825745,
82.7,-6.526039124,
82.8,-6.715103149,
82.9,-6.945053101,
83,-7.220993042,
83.1,-7.502044678,
83.2,-7.683448792,
83.3,-7.731994629,
83.4,-7.708999634,
83.5,-7.691116333,
83.6,-7.668121338,
83.7,-7.48160553,
83.8,-7.172454834,
83.9,-6.947608948,
84,-6.801979065,
84.1,-6.697219849,
84.2,-6.625679016,
84.3,-6.564361572,
84.4,-6.505599976,
84.5,-6.454498291,
84.6,-6.500488281,
84.7,-6.582244873,
84.8,-6.58480072,
84.9,-6.615463257,
85,-6.727882385,
85.1,-6.888847351,
85.2,-7.113685608,
85.3,-7.404953003,
85.4,-7.645126343,
85.5,-7.72177887,
85.6,-7.703887939,
85.7,-7.680892944,
85.8,-7.565917969,
85.9,-7.289978027,
86,-7.016593933,
86.1,-6.850524902,
86.2,-6.73299408,
86.3,-6.651229858,
86.4,-6.582244873,
86.5,-6.523483276,
86.6,-6.469825745,
86.7,-6.497932434,
86.8,-6.572029114,
86.9,-6.633346558,
87,-6.748321533,
87.1,-6.924613953,
