rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
4.0,946688008639881,0.25,946688008639881,2.859340188618835,4,1,0.022427542888638737,34,1,0.08289582757667864,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,226187500.0,1.0256410256410291,1,1864,0.007436598913060648,5,813247,-56,0
0.0,946688008652160,0.375,946688008652160,0.9756117810952678,6,1,nan,35,1,0.12434374136501795,2017-07-03 08:12:58,00e200600322f148a4000000,1,339281250.0,-0.57575757575757791,1,636,nan,5,825526,-48,0
0.0,946688008673063,0.1875,946688008673063,0.9694758579437253,3,1,-0.023359386212505304,36,1,0.06217187068250898,2017-07-03 08:12:58,00e200600322f148a4000000,1,169640625.0,-0.57575757575757791,1,632,-0.007745582607075536,5,846429,-48,0
4.0,946688008682965,-0.0625,946688008682965,5.976389149602458,65535,1,nan,37,1,-0.02072395689416966,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-56546875.0,1.0256410256410291,1,3896,nan,5,856331,-56,0
0.0,946688008696902,-1.1875,946688008696902,5.553010452146021,65517,1,nan,38,1,-0.3937551809892235,2017-07-03 08:12:58,e2801160600002073a494047,1,-1074390625.0,-1.1428571428571388,1,3620,nan,5,870268,-71,0
3.0,946688008749087,-0.1875,946688008749087,5.2768939103266055,65533,1,nan,39,1,-0.06213753106876554,2017-07-03 08:12:58,e2801160600002073a4962c7,1,-169734375.0,0.875,1,3440,nan,6,922453,-67,0
0.0,946688008760624,0.0625,946688008760624,4.669437518323892,1,1,nan,40,1,0.020712510356255178,2017-07-03 08:12:58,00e200600322f148a4000000,1,56578125.0,-0.70000000000000284,1,3044,nan,6,933990,-48,0
3.0,946688008770582,-0.1875,946688008770582,0.06135923151542565,65533,1,nan,41,1,-0.06213753106876554,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-169734375.0,0.81481481481481666,1,40,nan,6,943948,-56,0
1.0,946688008780557,0.4375,946688008780557,0.14726215563702155,7,1,nan,42,1,0.14498757249378624,2017-07-03 08:12:58,e2801160600002073a496cb7,1,396046875.0,-0.4761904761904816,1,96,nan,6,953923,-68,0
1.0,946688008797396,1.625,946688008797396,0.14726215563702155,26,1,0.0,43,1,0.5385252692626347,2017-07-03 08:12:58,e2801160600002073a496cb7,1,1471031250.0,-0.4761904761904816,1,96,0.0,6,970762,-68,0
